Pname,ExpirationDate,strength,DrugInteraction,AmountAvailable
MetroGel-Vaginal,2021-06-19,200mg,"Food - Plant Source, Tomato Nicotiana spp.",810
Ifosfamide,2020-12-26,5mg,Nitrogen,301
Labsco Sterile Alcohol Prep Pad,2021-06-21,200mg,Promethazine Hydrochloride and Codeine Phosphate,817
Hydrochlorothiazide,2021-06-11,200mg,Sodium Lactate,349
Potassium Chloride,2021-01-02,25mg,7 Select Adult Chewable Aspirin,856
Antifungal,2021-02-05,5mg,Kit for the Prepartion of Technetium Tc99m Sulfur Colloid,638
Tonsilla compositum,2021-03-24,500mg,Fresh Protect Skin Sanitizer,385
Haloperidol,2021-11-10,10mg,Infectiguard Fast Acting Antiseptic Hand Sanitizer,183
TYLENOL Cold and Flu Severe,2021-03-28,5mg,Sonacaine Topical Anesthetic With Menthol,802
Q-Tapp DM Elixir,2020-12-05,200mg,OxyContin,921
Verapamil Hydrochloride,2021-03-24,25mg,CARYA ILLINOINENSIS POLLEN,629
Antispetic,2021-08-06,5mg,CRESTOR,765
verapamil hydrochloride,2021-11-29,200mg,anti diarrheal,970
NARS ALL DAY LUMINOUS FOUNDATION,2021-10-30,50mg,Escitalopram,834
Jantoven,2021-07-05,50mg,oil,478
METFORMIN HYDROCHLORIDE,2021-08-02,50mg,Treatment Set TS347250,436
Old Spice Fresh Collection Denali,2021-06-15,200mg,LBEL SUPREMACIE NX JOUR Replenishing Treatment Daytime Face SPF 15 Normal To Dry Skin,620
Lidocaine Hydrochloride,2020-12-30,10mg,PediaCare Single Dose Fever Reducer,675
Ho Liang Kee,2020-12-06,5mg,Sleep II,215
safeHands Squirts,2021-11-16,10mg,TAZTIA,902
Ting,2021-10-09,20mg,Lady Speed Stick,309
Clease and Treat,2020-12-29,20mg,Smart Sense Hydrocortisone,390
Meloxicam,2021-06-03,50mg,Stool Softener,131
Carvedilol,2021-02-18,5mg,Simvastatin,556
Laura mercier Tinted Moisturizer SPF-20 Fawn,2021-06-12,5mg,Pink Macaroon Hand Sanitizer,961
Lisinopril,2021-03-09,50mg,Prednisolone Acetate,354
Morphine sulfate,2021-06-28,15mg,Hydrocortisone Valerate,33
NATURES GUM BALM,2021-10-12,10mg,No7 Stay Perfect Foundation Sunscreen SPF 15 Mocha,59
Phenytoin,2021-06-21,5mg,Cyclobenzaprine Hydrochloride,482
VP-HEME OB,2021-07-10,25mg,Escitalopram oxalate,500
Acetaminophen,2021-11-20,200mg,Cogentin,435
Oxygen,2021-02-11,10mg,nifedipine,962
CD - Dior Multi-perfection Tinted Moisturizer Bronze Radiance 3 - SPF 20,2021-09-09,25mg,Sleep Aid,992
Purinethol,2021-02-05,50mg,Lamotrigine,707
Savella,2021-08-12,500mg,Oxacillin,71
Animal Antigens,2021-08-06,500mg,Sertraline Hydrochloride,918
Alba Natural Acnedote Face Body Scrub,2021-07-29,25mg,Sulfamethoxazole and Trimethoprim,87
Urban Decay Naked Skin Beauty Balm SPF 20,2021-04-24,500mg,EndaCof,576
Simvastatin,2021-05-18,500mg,Nitrogen,454
Tetracycline Hydrochloride,2021-10-09,100mg,Metoprolol Succinate,532
LAMICTAL,2021-10-16,10mg,Carbidopa and Levodopa,199
Sciatic Rescue,2021-06-22,500mg,Vida Mia Hand Sanitizer,65
FENTANYL CITRATE,2021-02-03,25mg,XtraCare Hand Sanitizer,454
GOOD NEIGHBOR PHARMACY DIAPER RASH,2021-04-04,500mg,H-E-B Dead Sea Organics Protect and Perfect Day Broad Spectrum SPF15,931
FNG,2020-12-12,15mg,Mary Kay Tinted Moisturizer Sunscreen SPF 20 Ivory 1 (Drug Facts),378
Fluorouracil,2021-06-25,100mg,All Day Relief,749
Olanzapine,2020-12-10,25mg,Ilaris,494
Neutrogena Ultra Sheer Body Mist Sunscreen,2021-04-05,100mg,levofloxacin,475
Medi-Pak Performance Instant Hand Sanitizer,2021-09-13,5mg,BIRDS GARDEN LIP BALM,67
Neutrogena Ultra Sheer Dry Touch Sunscreen,2020-12-28,25mg,SEROQUEL,944
B4,2021-08-02,50mg,Quetiapine Fumarate,454
Bupropion Hydrochloride,2021-01-26,20mg,Meloxicam,957
Ondansetron Hydrochloride,2021-02-26,10mg,POLY-TUSSIN,514
NAPROXEN,2021-10-04,25mg,Aveeno Baby Natural Protection Face,957
Bronchial Cough,2021-03-23,5mg,Breast Inflammations and Discomforts,968
Quinapril Hydrochloride and Hydrochlorothiazide,2021-05-22,500mg,Sepia,842
Carisoprodol,2020-12-06,15mg,CARBON DIOXIDE,272
Clean and Refresh Body Wash,2021-04-30,10mg,FNG,132
Diphenhydramine,2021-03-18,25mg,Multi Vitamin Infusion Adult,446
Shunga,2021-11-17,10mg,Ropinirole,959
EXTRA REPAIR FOUNDATION,2021-06-12,25mg,ATOPALM Moisturizing Hydrocortisone,85
Pumpkin Seeds Antibacterial Foaming Hand Wash,2021-11-10,25mg,ZENATANE,148
Topcare Nite Time Day Time Cold and Flu Relief,2021-03-18,15mg,CARISOPRODOL,411
Extra Strength Acetaminophen,2020-12-24,15mg,COLLAGEN HD PEARL BB,874
KSS CLEAN HANDS ANTISEPTIC CLEANER,2020-12-22,500mg,Paroxetine,509
PLAGENTRA INTENSIVE CARE,2021-07-16,5mg,Cortizone 10 Plus,827
Rich Almond Perfecting Makeup Broad Spectrum SPF 25,2021-09-17,500mg,Bupropion Hydrochloride,30
LBel,2021-05-01,25mg,Triamterene and Hydrochlorothiazide,570
Hydrocortisone,2021-10-02,15mg,Pramipexole Dihydrochloride,174
Desert Bambu,2021-11-27,500mg,Healing,618
RANITIDINE,2021-07-24,25mg,Cefazolin,811
LYZA,2021-11-10,25mg,Isosorbide Dinitrate,641
Fluticasone Propionate,2021-02-06,25mg,DiorSkin Nude 040 Honey Beige,312
Cefuroxime Axetil,2021-10-09,25mg,Paricalcitol,799
Balmex Diaper Rash Stick,2020-12-28,50mg,ACETAMINOPHEN (RED),808
Genuine Hydrocortisone,2021-09-08,10mg,Bupropion Hydrochloride,747
Gleostine,2021-03-29,25mg,Phendimetrazine Tartrate,188
OXYGEN,2021-08-20,5mg,La Prairie Switzerland,981
Natural Balance Tears,2021-04-17,5mg,Suave,922
Premarin,2021-11-27,20mg,EPIDUO,993
Wingscale,2021-02-22,25mg,LE TECHNIQ,727
CASUARINA EQUISETIFOLIA POLLEN,2021-08-20,5mg,Moore Medical Antacid,735
Panic Button,2021-05-01,500mg,Crest Pro-Health,821
Cleocin Phosphate,2021-07-03,100mg,Poison Ivy,895
Acetaminophen,2021-09-14,5mg,Quetiapine fumarate,529
Potassium Chloride,2021-08-31,200mg,allergy and congestion relief d,418
OSCIMIN,2021-06-27,50mg,Metoprolol succinate,657
Diphenhydramine Hydrochloride,2021-01-26,25mg,Childrens Nighttime Cold and Cough,915
ALMOST POWDER,2021-04-14,200mg,Animal Antigens,771
RISPERIDONE,2021-05-25,5mg,FLUOXETINE,264
Bisacody,2021-07-24,25mg,Ketorolac Tromethamine,286
Calamine,2021-08-01,50mg,Isoniazid,997
Corn,2021-07-18,5mg,dg health cold plus flu relief,333
PAIN Terminator Analgesic,2021-03-06,15mg,Minocycline Hydrochloride,459
Azithromycin,2021-04-14,5mg,Kiss of Hope,608
RED GINSENG FERMENTED,2020-12-18,20mg,Fluconazole,515
Desloratadine,2021-03-03,5mg,Minocycline Hydrochloride,261
All Day Allergy,2021-11-30,25mg,Bacteriostatic Sodium Chloride,390
Umcka ColdCare Alcohol-Free,2021-10-14,10mg,ALENDRONATE SODIUM,16
Gabapentin,2021-03-07,10mg,METHYLIN,236
PROAIR,2021-07-17,15mg,Homeopathic Periodontal Gum Relief Formula,880
Sertraline Hydrochloride,2021-04-08,100mg,Venlafaxine Hydrochloride,140
IBUPROFEN,2021-07-31,10mg,Naloxone Hydrochloride,49
Medi-First Sterile Alcohol Pads,2020-12-25,200mg,Focalin,997
Glyburide,2021-11-18,500mg,Prevacid SoluTab,770
CEPHALEXIN,2020-12-07,200mg,WALGREENS ORIGINAL EYE DROPS,604
Levophed,2021-12-02,500mg,Estradiol Transdermal System,527
MUCOR PLUMBEUS,2021-03-12,15mg,Sally Hansen,154
XtraCare instant Hand Sanitizer,2021-10-31,50mg,Hypophysis 7 Special Order,478
OBAGI-C RX SYSTEM NORMAL-DRY,2021-08-12,10mg,ALLERGY KIDS RELIEF,300
Klor-Con,2021-09-17,10mg,Hand Sanitizer with Moisturizers,939
Instant Hand Sanitizer Twisted Peppermint,2021-06-06,5mg,hair regrowth treatment for men,349
Oxygen,2021-02-20,10mg,ENREGIN Anti-Blemish Cleanser,562
ANTIBACTERIAL FOAMING HAND SP LEMONGRASS,2021-03-19,15mg,Hydroxyzine Hydrochloride,361
Pamidronate Disodium,2021-02-20,500mg,Sumatriptan,873
GLYCOPYRROLATE,2021-01-20,25mg,Modesa,235
Green Pea,2021-05-23,5mg,Nitroglycerin,322
CARBOplatin,2021-11-15,50mg,Face Saver Gel,156
Ritalin,2021-04-16,20mg,Famciclovir,439
Flu Relief Therapy Night Time,2021-04-05,25mg,Pantoprazole Sodium Delayed Release,249
Miconazole 3,2021-01-09,100mg,Extra Strength Pain Reliever PM,742
Dermarest,2021-04-06,10mg,ARTHRITIS RELIEF,341
Benztropine Mesylate,2021-03-11,5mg,Parathyroplex,570
Pain Relief Plus,2021-10-16,500mg,Leader Acid Control,921
Doxazosin Mesylate,2021-11-13,500mg,Alcohol Prep Pads,157
Carbidopa and Levodopa,2021-10-11,200mg,Bupropion Hydrochloride,258
Keppra,2021-03-31,10mg,Bupropion Hydrochloride,653
Diltiazem Hydrochloride,2021-01-17,15mg,Cephalexin,209
Ondansetron Hydrochloride,2021-01-05,500mg,Simvastatin,838
Levothyroxine Sodium,2021-05-28,500mg,sunmark,432
BANANA BOAT,2021-06-17,100mg,Cotton Linters,715
ELF Super Glossy Lip Shine SPF 15,2021-08-06,15mg,Athletes Foot Fighter,453
