Pname,ExpirationDate,strength,DrugInteraction,AmountAvailable
PAMELOR,2021-02-26,25mg,Clarithromycin,795
risedronate sodium,2021-07-13,500mg,Otrexup,439
Thyrolar,2021-04-24,15mg,Lisinopril,134
Skelaxin,2021-10-21,500mg,Donepezil Hydrochloride,642
triamcinolone acetonide,2021-07-16,100mg,Enalapril Maleate and Hydrochlorothiazide,767
Sani-Hands,2021-08-29,20mg,MOUNTAIN CEDAR POLLEN,191
NESTABS DHA,2021-05-30,25mg,Neostigmine Methylsulfate,797
ZIANA,2020-12-27,50mg,pravastatin sodium,527
Tinted Moisturizer SPF20,2021-10-11,5mg,GLUCOVANCE,250
JAFRA DAILY,2021-08-08,20mg,Atomoxetine Hydrochloride,153
Trileptal,2021-03-15,100mg,ibuprofen pm,164
Propranolol Hydrochloride,2021-05-18,25mg,Parafon Forte DSC,355
Denti-Care Denti-Freeze,2021-10-13,10mg,CareOne Lubricant Eye Plus,625
Irbesartan,2021-10-05,500mg,Lucky Antibacterial Hand Soap,834
Gabapentin,2021-03-24,25mg,Motion sickness,336
CRAB MEAT,2021-11-28,50mg,Trazodone Hydrochloride,55
Walgreens,2021-01-04,50mg,Oxy Daily Defense Exfoliating Face Scrub,134
in control nicotine,2021-04-20,10mg,Doxazosin,418
Proactiv,2021-05-09,10mg,Assured Night time Cold and Cough,161
VINEXPERT BROAD SPECTRUM SPF 15 RADIANCE DAY FLUID,2021-09-28,15mg,Rifampin,1000
IPKN MOIST AND FIRM BB 02 Light,2020-12-23,15mg,levocetirizine dihydrochloride,302
Clorazepate Dipotassium,2021-05-13,100mg,Lorac Foundation Light,107
Doxepin Hydrochloride,2021-02-21,500mg,Gelato Homecare,67
Duloxetine,2021-06-27,500mg,Antacid,321
Percy Medicine,2021-07-07,50mg,Cover Fx Blemish Treatment Concealer G Medium,230
Fenofibric Acid,2020-12-18,15mg,Hydroxyzine Pamoate,855
Rodan and Fields,2021-08-19,25mg,COREG,317
Mineral Wear Oh So Radiant Powder,2021-07-31,15mg,Diltiazem Hydrochloride,85
"Molds, Rusts and Smuts, Candida albicans",2021-07-27,25mg,Isolyte S,191
Ketamine Hydrochloride,2020-12-29,20mg,Oralair,94
Nitrostat,2021-09-10,200mg,Plasma-Lyte 148,689
Terazol 3,2021-07-13,25mg,Betamethasone Dipropionate,207
CANTHARIS,2021-09-26,100mg,SHISEIDO THE SKINCARE DAY MOISTURE PROTECTION,460
LBEL EFFET PARFAIT filling effect foundation SPF 10 - MEDIUM 5,2021-10-08,50mg,Atenolol,226
Paroxetine Hydrochloride,2021-10-11,200mg,Temozolomide,739
Laxative,2021-06-07,200mg,Hazelnut,20
Glyburide,2021-08-19,500mg,Acetaminophen,385
Naproxen,2021-08-09,100mg,Propafenone HCl,144
FLUPHENAZINE HYDROCHLORIDE,2021-04-16,20mg,Terrasil Anti-Fungal Treatment,623
Reciphexamine,2021-07-06,5mg,metformin hydrochloride,899
PHENTERMINE HYDROCHLORIDE,2021-04-01,500mg,Nighttime Allergy Relief,666
Desoximetasone,2021-11-27,20mg,Standardized Perennial Rye Grass,473
Phoma glomerata,2021-04-11,5mg,nighttime sleep aid,575
Tussin Cough Long Acting,2021-06-27,100mg,Amlodipine Besylate,380
Arnica Active,2021-06-26,10mg,Antibacterial Foaming Hand,113
Atenolol,2021-02-25,15mg,Nectadyn,190
Fluconazole,2021-06-12,200mg,Vanilla Bean Antibacterial Hand,601
ESIKA HD COLOR HIGH DEFINITION COLOR SPF 20,2021-05-16,50mg,good sense pain relief,511
METRONIDAZOLE,2021-04-07,50mg,HYDROCODONE BIT/APAP,828
White Poplar,2021-08-27,500mg,Etodolac,797
FLONASE,2021-10-13,100mg,Hydra Intensive Blemish Balm SPF30 PA,930
CAPTOPRIL,2021-09-17,25mg,BEBULIN,374
Esopinio Topaz Phyto,2021-02-15,5mg,Eye Wash,876
Kindest Kare,2021-01-12,10mg,Lobster,374
Idole Lemon,2021-02-26,20mg,Chenodiol,47
DRISDOL,2021-04-08,15mg,Codeine sulfate,275
Anti-Bacterial Hand,2021-01-07,500mg,Desmopressin Acetate,112
